exchange,trading_symbol,groww_symbol,name,series,isin,exchange_token
NSE,1050ISFL28,NSE-1050ISFL28,Sec Re NCD 10.50% Sr 6,N5,INE413U07251,20784
NSE,1025NFL25,NSE-1025NFL25,1025NFL25,N5,INE342T07379,17345
NSE,1015ECL29,NSE-1015ECL29,1015EFL29,NR,INE804IA7014,7975
NSE,1025UCL26A,NSE-1025UCL26A,UCL-10.25%-24-10-26-NCD,N1,INE583D07521,25914
NSE,0MOFSL27,NSE-0MOFSL27,0MOFSL27,N3,INE338I07099,23704
NSE,1050UCL28,NSE-1050UCL28,UCL-10.50%-24-10-28-NCD,NH,INE583D07596,756004
NSE,1003IIFL29,NSE-1003IIFL29,IIFLSFL-10.03%-21-6-29-NCD,NC,INE413U07301,24141
NSE,1003ISFL28,NSE-1003ISFL28,ISFL-10.03%-21-12-28-NCD,N4,INE413U07269,20779
NSE,1050NFL26,NSE-1050NFL26,1050NFL26,N7,INE342T07387,17349
NSE,1040UCL27B,NSE-1040UCL27B,UCL-10.40%-24-4-27-NCD,N1,INE583D07513,25916
NSE,105IIFL29,NSE-105IIFL29,105IIFL29,N7,INE866I08295,19047
NSE,1060ECL29,NSE-1060ECL29,1060EFL29,NS,INE804IA7022,7986
NSE,1040NFL26,NSE-1040NFL26,NFL-10.40%-13-6-26-NCD,,INE342T07437,23119
NSE,1075NFL25,NSE-1075NFL25,1075NFL25,N6,INE342T07395,17347
NSE,1025SCL34Z,NSE-1025SCL34Z,SCL-10.25%-27-12-34-NCD,N1,INE148I07VI8,28933
NSE,1075SCL34,NSE-1075SCL34,IHFL-10.75%-31-5-34-NCD,ZR,INE148I07TP7,23970
NSE,0SCL26,NSE-0SCL26,IHFL-ZC-26-3-26-NCD,YR,INE148I07SF0,23289
NSE,1090NFL26,NSE-1090NFL26,NFL-10.90%-13-6-26-NCD,NB,INE342T07452,23121
NSE,1015UCL27,NSE-1015UCL27,UCL-10.15%-24-04-27-NCD,NF,INE583D07604,756000
NSE,10IIFL28,NSE-10IIFL28,10IHFL28,N4,INE477L08147,5212
NSE,1003SCL31A,NSE-1003SCL31A,SCL-10.03%-25-9-31-NCD,N1,INE148I07UR1,25566
NSE,105UCL2026,NSE-105UCL2026,UCL-10.50%-27-5-26-NCD,NB,INE583D07463,22841
NSE,1015SCL28A,NSE-1015SCL28A,IHL-10.15%-23-3-28-NCD,AL,INE148I07OH5,14710
NSE,1015UCL26,NSE-1015UCL26,UCL-10.15%-24-4-26-NCD,N1,INE583D07505,25912
NSE,1025UCL27A,NSE-1025UCL27A,UCL-10.25%-24-10-27-NCD,NG,INE583D07588,756002
NSE,1018GS2026,NSE-1018GS2026,1018GOI2026,GS,IN0020010081,6833
NSE,1050IIFL29,NSE-1050IIFL29,IIFLSFL-10.50%-21-6-29-NCD,ND,INE413U07319,24143
NSE,1039UCL26,NSE-1039UCL26,UCL-10.39%-24-10-26-NCD,NE,INE583D07570,755998
NSE,10CAGL27,NSE-10CAGL27,CREDITACC,N5,INE741K07496,12465
NSE,1190VCCL26,NSE-1190VCCL26,VCCL 11.90% 2026,N0,INE04HY07120,24223
NSE,20MICRONS,NSE-20MICRONS,20 Microns,EQ,INE144J01027,16921
NSE,10NIDO26,NSE-10NIDO26,10EHFL26,N6,INE530L07228,17866
NSE,21STCENMGM,NSE-21STCENMGM,21st Cent Mgt,EQ,INE253B01015,4
NSE,119VCCL26,NSE-119VCCL26,VEDIKA CREDIT 11.9% 2026,N0,INE04HY07146,24828
NSE,10SCL30A,NSE-10SCL30A,IBULHSGFIN,BV,INE148I07PO8,18868
NSE,12VCCL29,NSE-12VCCL29,VCCL 12% 2029 SR B,N0,INE04HY07153,25466
NSE,10IIFL29,NSE-10IIFL29,10IIFL29,N6,INE866I08279,19045
NSE,12VCCL29C,NSE-12VCCL29C,VCCL 12% 2029 SR I,N0,INE04HY07278,757721
NSE,111ESFB31,NSE-111ESFB31,ESFB 11.1% 2031 SR 1,N0,INE818W08131,757892
NSE,10UCL26,NSE-10UCL26,UCL-10%-24-10-26-NCD,ND,INE583D07562,755996
NSE,12VCCL29A,NSE-12VCCL29A,VCCL12% 2029,N0,INE04HY07203,29274
NSE,182D101025,NSE-182D101025,182T101025,TB,IN002025Y024,755859
NSE,12VCCL27B,NSE-12VCCL27B,VCCL 12% 2027,N0,INE04HY07211,29749
NSE,12VCCL27A,NSE-12VCCL27A,VCCL 12% 2027 SR C,N0,INE04HY07179,25812
NSE,10ISFL26,NSE-10ISFL26,ISFL-10%-21-12-26-NCD,N3,INE413U07277,20771
NSE,12VCCL29B,NSE-12VCCL29B,VCCL 12% 2029,N0,INE04HY07229,756916
NSE,360ONE,NSE-360ONE,360 One Wam,EQ,INE466L01038,13061
NSE,10IIFL28A,NSE-10IIFL28A,10IFL28,NE,INE530B08094,2871
NSE,116VCCL26,NSE-116VCCL26,VCCL 11.6% 2026 SR A,N0,INE04HY07195,25816
NSE,1102NFL26,NSE-1102NFL26,1102NFL26,N8,INE342T07403,17352
NSE,11UCL26,NSE-11UCL26,UCL-11%-27-5-26-NCD,NC,INE583D07455,22843
NSE,3PLAND,NSE-3PLAND,3P Land Holdings,EQ,INE105C01023,2595
NSE,364D181225,NSE-364D181225,364TB181225,TB,IN002024Z362,28311
NSE,5PAISA,NSE-5PAISA,5Paisa Capital,EQ,INE618L01018,445
NSE,601RJ26,NSE-601RJ26,601RAJSDL26,SG,IN2920210316,5994
NSE,3IINFOLTD,NSE-3IINFOLTD,3i Infotech,EQ,INE748C01038,6232
NSE,3MINDIA,NSE-3MINDIA,3M India,EQ,INE470A01017,474
NSE,619GS2034,NSE-619GS2034,619GOI2034,GS,IN0020200096,18973
NSE,645GS2029,NSE-645GS2029,645GS2029,GS,IN0020190362,13472
NSE,633TN30,NSE-633TN30,633TNSDL30,SG,IN3120200222,22135
NSE,63MOONS,NSE-63MOONS,63 Moons Tech,EQ,INE111B01023,11868
NSE,654GS2032,NSE-654GS2032,654GOI2032,GS,IN0020210244,7843
NSE,653TN31,NSE-653TN31,653TNSDL31,SG,IN3120200339,1839
NSE,664GS2035,NSE-664GS2035,664GOI35,GS,IN0020210020,3204
NSE,662GS2051,NSE-662GS2051,662GOI2051,GS,IN0020160092,7193
NSE,663KA34,NSE-663KA34,663KARSDL34,SG,IN1920200525,1651
NSE,667GS2050,NSE-667GS2050,667GOI2050,GS,IN0020200252,956
NSE,672GJ30,NSE-672GJ30,672GUJSDL30,SG,IN1520210015,3750
NSE,667GS2035,NSE-667GS2035,667GS2035,GS,IN0020210152,5577
NSE,675KA33A,NSE-675KA33A,675KASDL33,SG,IN1920200327,618
NSE,676GS2061,NSE-676GS2061,676GS2061,GS,IN0020200401,2317
NSE,675KA34,NSE-675KA34,675KARSDL34,SG,IN1920200400,1092
NSE,675KA33,NSE-675KA33,675KARSDL33,SG,IN1920200244,74
NSE,687MH33,NSE-687MH33,687MAHSDL33,SG,IN2220210024,3379
NSE,689GJ31,NSE-689GJ31,689GUJSDL31,SG,IN1520210114,5977
NSE,693KA32,NSE-693KA32,693KARSDL32,SG,IN1920210029,5987
NSE,694TN50,NSE-694TN50,694TNSDL50,SG,IN3120190266,22126
NSE,68GS2060,NSE-68GS2060,68GOI2060,GS,IN0020200187,22438
NSE,692AP41,NSE-692AP41,692APSDL41,SG,IN1020210416,6992
NSE,695TN31,NSE-695TN31,695TNSDL31,SG,IN3120200362,2260
NSE,697RJ51A,NSE-697RJ51A,697RJSDL51,SG,IN2920200713,2257
NSE,695TN31B,NSE-695TN31B,695TAMSDL31,SG,IN3120210189,5471
NSE,695GS2061,NSE-695GS2061,695GOI2061,GS,IN0020210202,6817
NSE,699GS2051,NSE-699GS2051,699GOI2051,GS,IN0020210194,6696
NSE,701MH32,NSE-701MH32,701MHSDL32,SG,IN2220210180,5002
NSE,699GS2026,NSE-699GS2026,699GS2026,GS,IN0020230028,15046
NSE,702AP37,NSE-702AP37,702APSDL37,SG,IN1020210366,6352
NSE,704REC28,NSE-704REC28,704REC28,N4,INE020B07GZ9,29614
NSE,704IRFC28,NSE-704IRFC28,704IRFC28,N6,INE053F07595,29607
NSE,704IRFC26,NSE-704IRFC26,704IRFC26,NL,INE053F07876,15110
NSE,704AP34,NSE-704AP34,704APSDL34,SG,IN1020210317,5967
NSE,704NHAI26,NSE-704NHAI26,704NHAI26,NB,INE906B07EM2,14497
NSE,709AP39,NSE-709AP39,709APSDL39,SG,IN1020210325,5968
NSE,707IRFC25,NSE-707IRFC25,707IRFC25,NF,INE053F07793,11722
NSE,710GS2029,NSE-710GS2029,71GOI2029,GS,IN0020220011,9047
NSE,714AP41,NSE-714AP41,714APSDL41,SG,IN1020210226,5236
NSE,714AP36,NSE-714AP36,714APSDL36,SG,IN1020210200,5044
NSE,714NHAI26,NSE-714NHAI26,714NHAI26,N7,INE906B07EG4,11949
NSE,715AP37,NSE-715AP37,715APSDL37,SG,IN1020210176,5004
NSE,716KA36,NSE-716KA36,716KARSDL36,SG,IN1920210367,8190
