TckrSymb,FinInstrmNm,Industry,exchange
20MICRONS,20 MICRONS LTD,Minerals & Mining,NSE
21STCENMGM,21ST CENTURY MGMT SERVICE,Capital Markets,NSE
360ONE,360 ONE WAM LIMITED,Capital Markets,NSE
GOLD360,360ONEAMC - GOLD360,,NSE
SILVER360,360ONEAMC - SILVER360,,NSE
3IINFOLTD,3I INFOTECH LIMITED,IT - Software,NSE
3MINDIA,3M INDIA LIMITED,Diversified,NSE
3PLAND,3P LAND HOLDINGS LIMITED,Finance,NSE
5PAISA,5PAISA CAPITAL LIMITED,Capital Markets,NSE
63MOONS,63 MOONS TECHNOLOGIES LTD,IT - Software,NSE
760PFCL35,7.60% TAX FREE NCD,,NSE
764NABAR31,7.64% TAX FREE TRI SRIIB,,NSE
764HUDCO31,7.64% TAX FREETRI SR2B,,NSE
769HUDCO31,7.69% TAX FREETRII SR2B,,NSE
812REC27,8.12/8.32% TAX FREE NCD,,NSE
82HUDCO27,8.20 NCD05MAR27 FV 1000,,NSE
830PFCL27,8.30% TAX FREE NCD,,NSE
850NHAI29,8.50% TAX FREE TR I S IIA,,NSE
875NHAI29,8.75% TAX FREE TR I S IIB,,NSE
876HUDCO28,8.76% TAX FREETRI SR2B,,NSE
879NHPC28,8.79% SEC RED BOND S2B,,NSE
891NTPC33,8.91%S-R-NCD SERIES 3B,,NSE
892NHPC33,8.92% SEC RED BOND S3B,,NSE
892PFCL33,8.92% TAX FREE NCD,,NSE
9MMFSML,9.00% UNSECURED NCD,,NSE
901HUDCO34,9.01% TAX FREETRII SR3B,,NSE
ABCOTS,A B COTSPIN INDIA LIMITED,Textiles & Apparels,NSE
ABINFRA,A B INFRABUILD LIMITED,Construction,NSE
A2ZINFRA,A2Z INFRA ENGINEERING LTD,Construction,NSE
AAATECH,AAA TECHNOLOGIES LIMITED,Commercial Services & Supplies,NSE
AADHARHFC,AADHAR HOUSING FINANCE L,Finance,NSE
AAKASH,AAKASH EXPLORATION SER L,Oil,NSE
AAREYDRUGS,AAREY DRUGS & PHARM LTD,Pharmaceuticals & Biotechnology,NSE
AARON,AARON INDUSTRIES LIMITED,,NSE
AARTECH,AARTECH SOLONICS LIMITED,Electrical Equipment,NSE
AARTIDRUGS,AARTI DRUGS LTD.,Pharmaceuticals & Biotechnology,NSE
AARTIIND,AARTI INDUSTRIES LTD,Chemicals & Petrochemicals,NSE
AARTIPHARM,AARTI PHARMALABS LIMITED,Pharmaceuticals & Biotechnology,NSE
AARTISURF,AARTI SURFACTANTS LIMITED,Chemicals & Petrochemicals,NSE
AARVEEDEN,AARVEE DEN. & EXP. LTD,Textiles & Apparels,NSE
AARVI,AARVI ENCON LIMITED,Commercial Services & Supplies,NSE
AATMAJ,AATMAJ HEALTHCARE LIMITED,Healthcare Services,NSE
AAVAS,AAVAS FINANCIERS LIMITED,Finance,NSE
ABAN,ABAN OFFSHORE LTD.,Oil,NSE
AFSL,ABANS FINANCIAL SRVCS LTD,Finance,NSE
ABB,ABB INDIA LIMITED,Electrical Equipment,NSE
ABBOTINDIA,ABBOTT INDIA LIMITED,Pharmaceuticals & Biotechnology,NSE
8ABCL26,ABCL 8% SR I,,NSE
ABHAPOWER,ABHA POWER N STEEL LTD,Industrial Products,NSE
ABMINTLLTD,ABM INTERNATIONAL LTD,Commercial Services & Supplies,NSE
ABSMARINE,ABS MARINE SERVICES LTD,Transport Services,NSE
ACC,ACC LIMITED,Cement & Cement Products,NSE
ACCELYA,ACCELYA SOLN INDIA LTD,IT - Software,NSE
ACCENTMIC,ACCENT MICROCELL LIMITED,Pharmaceuticals & Biotechnology,NSE
ACCPL,ACCRETION PHARMA LIMITED,Pharmaceuticals & Biotechnology,NSE
ACCURACY,ACCURACY SHIPPING LIMITED,Transport Services,NSE
ACEINTEG,ACE INTEGRATED SOLU. LTD.,Commercial Services & Supplies,NSE
ACMESOLAR,ACME SOLAR HOLDINGS LTD,Power,NSE
ACE,ACTION CONST EQUIP LTD,"Agricultural, Commercial & Construction Vehicles",NSE
ACTIVEINFR,ACTIVE INFRASTRUCTURES L,Realty,NSE
ADANIENSOL,ADANI ENERGY SOLUTION LTD,Power,NSE
ADANIENT,ADANI ENTERPRISES LIMITED,Metals & Minerals Trading,NSE
ADANIGREEN,ADANI GREEN ENERGY LTD,Power,NSE
ADANIPORTS,ADANI PORT & SEZ LTD,Transport Infrastructure,NSE
ADANIPOWER,ADANI POWER LTD,Power,NSE
ATGL,ADANI TOTAL GAS LIMITED,Gas,NSE
LAWSIKHO,ADDICTIVE LEARNING TECH L,Other Consumer Services,NSE
ADFFOODS,ADF FOODS LIMITED,Food Products,NSE
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,Capital Markets,NSE
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,Finance,NSE
ABFRL,ADITYA BIRLA FASHION & RT,Retailing,NSE
BIRLAMONEY,ADITYA BIRLA MONEY LTD,Capital Markets,NSE
ABREL,ADITYA BIRLA REAL EST LTD,"Paper, Forest & Jute Products",NSE
AUSL,ADITYA ULTRA STEEL LTD,Industrial Products,NSE
AVL,ADITYA VISION LIMITED,Retailing,NSE
BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,,NSE
BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,,NSE
ADOR,ADOR WELDING LTD,Industrial Products,NSE
ADROITINFO,ADROIT INFOTECH LIMITED,IT - Services,NSE
ADVENZYMES,ADVANCED ENZYME TECH LTD,Pharmaceuticals & Biotechnology,NSE
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,Leisure Services,NSE
AEGISLOG,AEGIS LOGISTICS LIMITED,Gas,NSE
AEROFLEX,AEROFLEX INDUSTRIES LTD,Industrial Products,NSE
AERON,AERON COMPOSITE LIMITED,Industrial Products,NSE
AESTHETIK,AESTHETIK ENGINEERS LTD,Construction,NSE
AETHER,AETHER INDUSTRIES LIMITED,Chemicals & Petrochemicals,NSE
AFCONS,AFCONS INFRASTRUCTURE LTD,Construction,NSE
AFFLE,AFFLE 3I LIMITED,IT - Services,NSE
AFFORDABLE,AFFORD ROBO & AUTO LTD,Industrial Manufacturing,NSE
AGARWALFT,AGARWAL FLOAT GLASS I LTD,Industrial Products,NSE
AGARIND,AGARWAL INDS CORP LTD.,Chemicals & Petrochemicals,NSE
AGARWALTUF,AGARWAL TOUGH GLASS IND L,Industrial Products,NSE
AGI,AGI GREENPAC LIMITED,Industrial Products,NSE
AGIIL,AGI INFRA LIMITED,Realty,NSE
AGNI,AGNI GREEN POWER LTD,Construction,NSE
AGRITECH,AGRI-TECH (INDIA) LIMITED,Agricultural Food & other Products,NSE
AGROPHOS,AGRO PHOS INDIA LIMITED,Fertilizers & Agrochemicals,NSE
